gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
WIPI1	8	8.38647167822767e-10	1.32934816935506	0.257	0.103	1.51761591489208e-05
RPL22L1	8	9.41080780776385e-10	0.922246859880675	0.784	0.622	1.70297978089295e-05
PROS1	8	1.08926548440941e-09	0.794793340165258	0.275	0.11	1.97113482058727e-05
ATP5G1	8	1.25671678714996e-09	0.725458924900442	0.677	0.448	2.27415469802657e-05
RCAN1	8	1.3878622569178e-09	0.816184845763007	0.263	0.104	2.51147554011844e-05
BLOC1S2	8	1.49382733780208e-09	0.952441483451112	0.425	0.219	2.70322995048664e-05
SHC1	8	2.27003154353754e-09	1.2390832617215	0.281	0.121	4.10784908118553e-05
OAT	8	2.28896278631638e-09	1.11851694871423	0.407	0.213	4.14210705811812e-05
C19orf53	8	2.44583076780995e-09	0.580300345614576	0.802	0.57	4.42597535742889e-05
REEP3	8	2.6040332102172e-09	1.22620427027523	0.353	0.176	4.71225849720904e-05
AP2B1	8	2.73699509190649e-09	0.982625686942969	0.347	0.162	4.95286631831398e-05
GLT8D1	8	2.77036734649772e-09	1.13296207605983	0.293	0.128	5.01325675022227e-05
RECQL	8	3.0637899813611e-09	1.32560715400223	0.269	0.115	5.54423435027105e-05
ATP2A2	8	3.18626801708152e-09	1.18214777457253	0.365	0.18	5.76587060371072e-05
HEXA	8	3.26221307602105e-09	0.85531356269169	0.443	0.234	5.90330078236768e-05
PHB	8	4.03325085089596e-09	0.974436328760204	0.497	0.291	7.29857073978133e-05
TMED10	8	4.06746442386722e-09	0.480115970515707	0.749	0.461	7.36048362143012e-05
MAGED2	8	4.11214860272269e-09	0.879315248720016	0.449	0.239	7.44134411148699e-05
PARK7	8	4.15326670613535e-09	0.607146518660995	0.743	0.494	7.51575143142253e-05
ATP5J2	8	4.27262661782405e-09	0.630316177840883	0.886	0.703	7.73174512761441e-05
PTP4A2	8	4.32996236983476e-09	0.619296544053272	0.784	0.536	7.83549990445298e-05
IFT57	8	4.35458585874051e-09	1.20239099447991	0.269	0.114	7.88005856997683e-05
MGAT4B	8	4.45787603730722e-09	1.17048375491128	0.299	0.135	8.06697247711115e-05
MRPL41	8	4.60560793997055e-09	0.819293574584462	0.623	0.425	8.3343081281707e-05
BANF1	8	5.56770309621268e-09	0.784695695857545	0.527	0.3	0.000100753155229065
NDUFC1	8	6.34644999340621e-09	0.712983835510717	0.611	0.373	0.000114845359080679
LINC00152	8	6.65028391670868e-09	0.365151108571584	0.623	0.357	0.00012034353775676
AAMDC	8	6.95260698382754e-09	1.20152877145298	0.269	0.116	0.000125814375979343
ERH	8	7.10521791242778e-09	0.615669401876481	0.778	0.558	0.000128576023343293
ATP5I	8	7.46003213870176e-09	0.543419102528484	0.964	0.799	0.000134996741581947
PPP2R4	8	7.47832455576439e-09	1.48367200023448	0.269	0.119	0.000135327761161112
SEC24D	8	7.82061541215181e-09	1.19937847502888	0.299	0.137	0.000141521856498299
HMGA1	8	7.84562565066802e-09	1.75699629074355	0.335	0.173	0.000141974441774488
NHP2	8	8.76259725450396e-09	0.983854080758615	0.419	0.225	0.000158567959917504
CNPY2	8	8.96268979721625e-09	0.676833710247172	0.581	0.349	0.000162188834570425
SNX3	8	9.63615386895867e-09	0.52315445052259	0.808	0.609	0.000174375840412676
MDM2	8	1.21199872370109e-08	1.19214322653068	0.389	0.206	0.000219323289040949
RALA	8	1.4740312799181e-08	1.33182877105253	0.257	0.113	0.000266740700413979
EMC10	8	1.61881063799702e-08	1.23249774961075	0.323	0.16	0.000292939973051941
EGR2	8	1.70685136141322e-08	1.05772759709471	0.293	0.135	0.000308871822361336
PSMC5	8	1.75912104234266e-08	0.81420927170544	0.503	0.296	0.000318330543822328
MRPL13	8	2.0205856085094e-08	1.05626257628667	0.335	0.165	0.000365645171715862
BRI3	8	2.04573437194984e-08	0.536998158389122	0.808	0.587	0.000370196091948042
TCEAL8	8	2.13590443762717e-08	0.93805039114549	0.389	0.208	0.000386513267033013
GIPC1	8	2.25807162271269e-08	1.08448053689434	0.269	0.118	0.000408620640846088
CARHSP1	8	2.4573894911949e-08	1.06881747959002	0.353	0.181	0.000444689202326629
CCT6A	8	2.60910178907713e-08	0.912171759319885	0.401	0.215	0.000472143059751398
KRT10	8	2.70395908207556e-08	0.53838305878402	0.749	0.521	0.000489308435492393
PSMB1	8	2.88533573518539e-08	0.615449867888514	0.802	0.629	0.000522130354639148
YIPF5	8	2.91351265461776e-08	0.860281532888495	0.377	0.195	0.00052722924997963
RPL4	8	3.0103703409746e-08	0.545014697425251	0.892	0.678	0.000544756616902764
TFG	8	3.23940695558727e-08	1.05352760856543	0.347	0.179	0.000586203082683073
NDUFA13	8	3.29701954797687e-08	0.657846474678149	0.725	0.493	0.000596628657401894
EEA1	8	3.40029293303409e-08	1.07673499972675	0.263	0.116	0.000615317009161849
ITGA5	8	3.63809637749152e-08	1.2573564250005	0.257	0.112	0.000658349920470865
RPL13A	8	3.72088433132593e-08	0.53544878599985	0.922	0.753	0.00067333122859674
ATOX1	8	3.80674351774283e-08	0.641487094013775	0.772	0.537	0.000688868306970743
NDUFS4	8	4.42110315070807e-08	0.844674240882695	0.359	0.18	0.000800042826152133
GARS	8	4.60837253974696e-08	1.16667476619345	0.281	0.131	0.000833931094792609
LRRC59	8	4.99587525212478e-08	0.948731418553817	0.353	0.18	0.000904053585624501
SCARB2	8	5.03634961712635e-08	0.669278623909061	0.497	0.286	0.000911377826715184
CNIH1	8	5.41073061956976e-08	1.1275281900092	0.311	0.153	0.000979125812917343
SNRPG	8	5.50625080743046e-08	0.613821713661084	0.743	0.546	0.000996411146112615
BMPR2	8	5.70116907833941e-08	0.991087033789519	0.275	0.125	0.0010316835564163
NIT2	8	6.07374055867084e-08	1.11885385644337	0.251	0.11	0.00109910409149708
GFPT1	8	6.16637872845092e-08	1.1815352209415	0.257	0.116	0.00111586789470048
RBMS1	8	6.46687968246805e-08	0.984856797900328	0.389	0.212	0.00117024654733942
AP2S1	8	6.68621678667813e-08	0.49553215544454	0.749	0.52	0.00120993778971727
PON2	8	6.86474448645786e-08	1.15328538896627	0.269	0.123	0.00124224416226941
EPB41L2	8	6.88278609431043e-08	1.24617268650782	0.257	0.117	0.00124550897162641
PSMA1	8	8.9468070538211e-08	0.728773469599301	0.599	0.376	0.00161901420445947
MAPK3	8	9.94676880580155e-08	1.27742362049226	0.269	0.128	0.00179996728309785
CBX6	8	1.01723907151587e-07	1.00913348920697	0.311	0.152	0.00184079582381512
EMP3	8	1.03492818692499e-07	1.00544493668736	0.784	0.637	0.00187280604705947
PRKAR1A	8	1.04163385834696e-07	0.893204606234413	0.491	0.311	0.00188494063006466
C19orf70	8	1.05690740624095e-07	0.637404151357333	0.617	0.41	0.00191257964233363
EIF5A	8	1.06221829120199e-07	0.760027922004581	0.635	0.456	0.00192219021975912
SRI	8	1.09267538686079e-07	0.789675580130611	0.545	0.346	0.00197730538006329
NUMB	8	1.1330081524414e-07	1.24075919032146	0.311	0.16	0.00205029155265796
RAB1A	8	1.13646890141058e-07	0.776687403206602	0.437	0.246	0.00205655412399259
VPS25	8	1.16433336513522e-07	0.942197261033962	0.347	0.18	0.0021069776575487
CASC4	8	1.30601464966413e-07	1.19325237223204	0.287	0.14	0.00236336411003221
ATRAID	8	1.38496881204951e-07	0.670561500751194	0.659	0.46	0.0025062395622848
DYNC1I2	8	1.40848677305529e-07	0.813576815844674	0.443	0.255	0.00254879766452086
AHI1	8	1.53723510192298e-07	1.02051255133746	0.269	0.125	0.00278178064043983
ZYX	8	1.62842235585879e-07	0.907084040462277	0.443	0.266	0.00294679309516206
UAP1	8	1.69589451073148e-07	1.23334864615024	0.269	0.128	0.00306889070661968
RABAC1	8	1.71418412706592e-07	0.340981287567681	0.898	0.636	0.0031019875963385
MPZL1	8	1.97591720310288e-07	1.21454107745871	0.269	0.128	0.00357561977073497
FAM200B	8	2.18014752322254e-07	1.11492815322957	0.263	0.122	0.00394519495802351
COX6A1	8	2.26451367801876e-07	0.604220207201837	0.737	0.525	0.00409786395174276
MPRIP	8	2.28820719015516e-07	1.03905712575709	0.275	0.13	0.00414073973130478
NDUFB2	8	2.30084841735798e-07	0.522561504663938	0.868	0.713	0.004163615296051
DPYSL2	8	2.38766530150383e-07	0.988104533567378	0.383	0.217	0.00432071912960133
PSMD8	8	2.43246302132369e-07	0.654906756683579	0.611	0.414	0.00440178508338735
NDUFB7	8	2.47765076385319e-07	0.451217864280373	0.838	0.595	0.00448355682226874
